,Video ID,Video Uploader,Interval between YouTube Establishment and Video Upload,Video Category,Video Length,Number of Views,Rating on the Video,Number of Ratings,Number of Comments,Related Video IDs,Number of Related Videos,Video Popularity
702,4dK-9jLPGqc,mmediasystem,978,Autos & Vehicles,506,1089,5,4,1,"6dYp-WsyLYA,30oH2Dn_gI8,lPm5uyzN_DE,hY75344liLs,kZUb13of6cU,79lEpggJRtg,Ey4jUCNTDtE,IMsSV9Z1ELg,gxVkJuidyfg,HDQJW0_KsV0,3uwKM5eHR_Q,dJezhqrz5zI,HV1E7e8wJ4k",13,1099
703,HxdsazczA1Y,madafakabiccs,1133,Travel & Events,97,256,5,3,3,"nWAF5bYstqU,xCewmndnJEY,xYVbMi485b4,HveqGQrcYU8,nPIWONZTXyo,Nn0ta8pmfgU,sfKJHlr-xAQ,Zxgvi3AeSqE,hsS9IdHIZ-4,lzIHu2GmcW8,3HXKqvR3PyE,_TIgx7kgtM0,ehjea6RSW44",13,267
704,29sIluXHyeU,Colpacino,683,Sports,255,1370917,4.56,1062,232,"0KS2DxNUBVU,0mJ22b-aHuM,fDCOmktLC1k,_YTy2RmBhXk,cK0ppJw1_-Y,71n2NDgt4Zc,HveqGQrcYU8,IKxbbwiyMaY,oSmMzpZM_As,6xTtpMpW0fg,QrkDHzYqqps,lEfvXaFKkeU,kWDTY2u1nVI",13,1372215.56
705,8TNG5kAn1Dg,reflekss,686,Autos & Vehicles,332,1762369,4.12,845,512,"0KS2DxNUBVU,6fjlVrkc2A8,FdijTTxWwWk,fDCOmktLC1k,0mJ22b-aHuM,x0u4zNetRNE,_YTy2RmBhXk,oSmMzpZM_As,m_86RuYXoJA,EZKazjiSTD0,IKxbbwiyMaY,cK0ppJw1_-Y,Qe4W1uoVJBo",13,1763730.12
706,hUshSdgCxII,giantfryingpan,799,Music,47,12253,4.87,30,36,"PQvc4BMM2xM,S8NwYyUB6Dw,smrQkbohyhk,dm0EukBN_qM,3T3iemAZsiA,V_HT4GQCe_U,CeNssuIDViw,cbuIGCnbt6c,ew8YpxvqiMM,As27U8tRiJo,ponHEXxKOh4,D1IGC43Vq2s,272v4X6Kyfg",13,12323.87
707,oGhOnvxXO2Q,BruceTregaskin,1087,Music,290,2696,5,3,4,"yJ-Ndg5DRUM,ijDsMdRFlIw,UdyI9EEas70,I2H0mNYAHww,nuaI11JCcqY,7Zdi2IF5ezw,2oMUnoqYGsg,Z8mvrFHcgsc,fQR2zias9ek,_NGJRHJuDBc,2Y36gt9MAuM,q2qximPa7co,gJwNQ49W8vs",13,2708
708,V-r-6xWovak,cashman1985,1114,Music,223,1403,4.25,4,8,"xP-t21eg9g0,ZgelQDE6g58,_xmEP5Qyh_g,cbuIGCnbt6c,EaVDguCLrnA,9TOs6iUkIRE,EToHLttHsFg,e1XTJV6caKc,AP0egakI2SA,mNZbE2x3ocA,IEqtgXgjqes,dkHJbHzKA80,msYXgbfeJ5c",13,1419.25
709,bmi6DhdCALE,Mina93,1120,Entertainment,218,384,5,5,2,"OAt2pV03cb8,9H_DYj9zzaY,aWNmA9uhgZ0,piT6j-wXjv8,N4EPqJm7hsw,tVUBrMD92fQ,pcRl64keGDs,7oL0-ZTL3NE,kBUF7JwS_64,sbw5e2ghU6E,kxXTJpA3G8w,HsNrYY6WAvs,m_9M87TC8Lc",13,396
710,Ev4P9XeCNsk,acmm424,1013,Entertainment,49,1664,5,8,12,"uGESFTeKGKg,ieeydfzg51Q,rwkZCRNIqeg,x44ivfr7jBY,CESLXX84IDQ,AKjoqKRgTAc,STUQ8fkoPSM,CbyyfmU2SEw,uR2gOeJ6-pY,DFPRWeFNGZI,UGgp-3wzP9o,sWpocKOydIk,3QqruHnvz5A",13,1689
711,h0rWd8uUEiE,SweetBrooke23,948,Entertainment,211,6369,4.97,60,36,"0JyeKm59YV0,-2Uzzs33WPU,yQYL0CH8G-Q,OL2Dx2Rx2Vk,skEBnqubIBE,bwWcs5V0S0Q,6zs4t9OHXfo,oZO-6gAyHxU,bIqobg9FdLE,xoC-ku6DP9U,YbfudraTZr8,zZ_04kFX4xM,52_8HSowRBQ",13,6469.97
712,CLw0wV96m5c,x3nerd,1061,Entertainment,232,2701,4.98,45,22,"UNYZh1zGsWA,i4mxiUQbMl4,RyvQa5NgzcA,kL44AS88mto,AQpLrrxYmOQ,FtTzZ_2R47M,F0-csWDaFXw,m42IiltEYrM,TEHLEESIXGM,YAOwa9sJJmc,EqKXC1w0aN0,uS-_xkZiA9M,J4wiJNlBuJE",13,2772.98
713,zZ_04kFX4xM,SweetBrooke23,1071,Entertainment,83,9042,4.97,40,71,"EV4F-0P0Qzg,Z5jhAQlfkxY,1F6J2e6YiUQ,ZzVdlvY2v8k,H0X9EqIVpvM,Pk_vE1jilkA,XMeuJMqy5EU,z1_FvV0lFZM,QbA4G_s_Abk,GGhQUIcUt84,amu42f_v_Xo,Vu82TeYga70,69Rs5fvsxEI",13,9157.97
714,8owsisqTbzA,bexiboo1980,1093,Entertainment,188,409,4.5,10,6,"1xN4nqy4Kp8,Ybh2uQIszjk,mR8cvlnabd8,W95tgIAEKoc,tMGKQV5iAgo,bdasDrzy8OE,vnuBHQCATVU,X82oJaYDtBE,oxZgLTjgaQw,4bkmmZEPCdw,c4QokiQDinM,UeI-ajohMHI,pHfObU1pks4",13,429.5
715,A2YsWhCWDVI,mynameisjennny,759,Entertainment,238,6074,4.88,100,38,"DBMWHx_wX-Y,YuBjQG227LQ,3oxgaq2d1Gg,kTblID4z1OU,TRBJbCcoJN0,bp90xpvw-vo,MmkATHUmXxg,Sbchdyg-Ty8,PLLJwaS-LUw,lqwBB8Mazlw,WJn-FpTPdoQ,lUsHzCPHSJc,_mXz7c3f4jc",13,6216.88
716,nyBlxO9W5Iw,candyh3arts,1122,Entertainment,199,647,5,9,7,"IXn5eyhcuB0,bocqlO3-zCE,lUsHzCPHSJc,pIwdh_jHRRk,ZDQ8Iy4BAlY,EqKXC1w0aN0,GymYR2arTJc,B_IUrLFmFG4,2-cs9jhvmtU,fPjVSD1jWJk,ZTksu8FpJhs,pg0cWLm8DDU,i4tCAI9pNXs",13,668
717,TWjfrkhGQM8,SweetBrooke23,1050,Entertainment,242,3093,4.87,54,36,"INZlVRYZSYg,v6Oh-ziD09E,keNCTebilS0,mRO2JdnIiNk,-U3vhKv34gU,osw8zVM0oQQ,XMeuJMqy5EU,KQMenMbTkhw,DLBOIjmakaU,vxcuiggN51Q,6--T1vJEo80,7gv9aegBjcI,HvvLzkFAhvY",13,3187.87
718,MgYM4dq79Q0,starryeyesxxvideo,1038,Entertainment,269,1908,5,45,19,"t-Yh8fShM5Y,C-4u3DqtwkA,e0hdVaj1QWk,GipYsTlrTLU,0tYnx_qa05o,7arInZbbW_c,RyvQa5NgzcA,HBwPwYXEVrc,4H_53gN2tkU,cbjdNP3hGAw,mz2uZ0A0ZdM,3i5qtJEYUy8,b1hsTbG0lPY",13,1977
719,J5TvbvD0Gzo,kelynngui,1085,Entertainment,240,432,5,5,2,"zZ_04kFX4xM,NAUcXms67mc,tYM0WTz7GA0,2GGjpomsqtk,0yEMJWAS8pg,tPLNPXEE7Qs,LJYvj0Op4eo,9bBZImDitnk,SbjIpMJ6d14,WRPkzDv6TUA,YnfIi7teOfM,Pk_vE1jilkA,PTaa43d7E_I",13,444
720,r3Q-2Q3V1jc,fadingspark,1135,Entertainment,195,1142,4.99,83,41,"wJN3Yd-zpes,uJtEl8UrVQ0,uYgGEtwYBD4,jtPWXE1K0Ag,ReeE8rnXmWs,6Y2vQi4_WAU,QFTqupe0wKs,ZFFmSGILYtw,n3ugG1wlfjk,dmuZxLDNtWg,yUKsdRXUxqk,Jl2AzqMvyMI,GBGxBvz8GX4",13,1270.99
721,WXaWR2xRkyI,ForeverAndAlways14,489,Music,234,26473,4.67,46,17,"5vRaH5v5W2I,mz2uZ0A0ZdM,DKiZvktvtaM,r0_9dd_j4wQ,j0igRQ4LX-Y,hIFDGeQN73k,lNTwF-JLrn8,-DfGtm3rxcM,Sww-A4oXDsk,wqbyra79_p4,Vs72g5lkC6w,HBwPwYXEVrc,kSuKnJElEBs",13,26540.67
