,Video ID,Video Uploader,Interval between YouTube Establishment and Video Upload,Video Category,Video Length,Number of Views,Rating on the Video,Number of Ratings,Number of Comments,Related Video IDs,Number of Related Videos,Video Popularity
0,QuRYeRnAuXM,EvilSquirrelPictures,1135,Pets & Animals,252,1075,4.96,46,86,"nRcovJn9xHg,3TYqkBJ9YRk,rSJ8QZWBegU,0TZqX5MbXMA,UEvVksP91kg,ZTopArY7Nbg,0RViGi2Rne8,HT_QlOJbDpg,YZev1imoxX8,8qQrrfUTmh0,zQ83d_D2MGs,u6_DQQjLsAw,73Wz9CQFDtE",13,1211.96
1,3TYqkBJ9YRk,hggh22,1135,Comedy,169,228,5,5,3,"gFa1YMEJFag,UEvVksP91kg,rSJ8QZWBegU,nRcovJn9xHg,sVkuOk4jmCo,ZTopArY7Nbg,HT_QlOJbDpg,0RViGi2Rne8,ShhClb6J-NA,g9e1alirMhc,YZev1imoxX8,I4yKEK9o8gA,zQ83d_D2MGs",13,241
2,rSJ8QZWBegU,TimeGem,1135,Entertainment,95,356,4.31,13,1,"gFa1YMEJFag,UEvVksP91kg,3TYqkBJ9YRk,nRcovJn9xHg,sVkuOk4jmCo,ZTopArY7Nbg,gBcu22Vv1nY,HT_QlOJbDpg,0RViGi2Rne8,ShhClb6J-NA,g9e1alirMhc,YZev1imoxX8,I4yKEK9o8gA",13,374.31
3,nRcovJn9xHg,wooochacha,1135,Entertainment,118,1115,2.23,57,73,"gFa1YMEJFag,UEvVksP91kg,3TYqkBJ9YRk,ZTopArY7Nbg,gBcu22Vv1nY,HT_QlOJbDpg,0RViGi2Rne8,ShhClb6J-NA,g9e1alirMhc,YZev1imoxX8,I4yKEK9o8gA,zQ83d_D2MGs,1GKaVzNDbuI",13,1247.23
4,UEvVksP91kg,johnx113,1135,Entertainment,83,281,2.67,9,16,"QuRYeRnAuXM,3TYqkBJ9YRk,0TZqX5MbXMA,rSJ8QZWBegU,nRcovJn9xHg,sVkuOk4jmCo,ZTopArY7Nbg,HT_QlOJbDpg,0RViGi2Rne8,g9e1alirMhc,YZev1imoxX8,I4yKEK9o8gA,zQ83d_D2MGs",13,308.67
5,sVkuOk4jmCo,marcosoycadiz,1135,People & Blogs,49,1196,3.67,6,5,"sLrWjhvCoW8,dergWtU1tnE,Cs3TbaYxg_A,OOHsD-akNw0,9Vajm_u9TsI,ZW62z2-QfpA,4ki_fVDDlzs,WJ2WTPtijSc,8TknA5BqRBc,M2fcueuny7s,8Wd6y3Pb2yA,0aKz7qdtMj0,x50W-TW6yGg",13,1210.67
6,ZTopArY7Nbg,TroyChannel,1136,Entertainment,145,11,0,0,0,"pQPhV1mzh-g,NeIGddkjxJI,8-vZvDjh_3g,N6RuQAW1ALc,Dc_MIs3NzIQ,LsSendGJARs,MHADThckgkE,OTJGrqVOubA,BjU-c_aBXtc,dT1Hmv_2Qg8,apqOIWiKaXc,vX0vqQuXI9g,Gb7ztQ-baqo",13,11
7,0RViGi2Rne8,OmnipotentSI,1135,Entertainment,9,490,2.31,26,15,"nRcovJn9xHg,0TZqX5MbXMA,UEvVksP91kg,gFa1YMEJFag,QuRYeRnAuXM,3TYqkBJ9YRk,HT_QlOJbDpg,ZTopArY7Nbg,g9e1alirMhc,YZev1imoxX8,I4yKEK9o8gA,zQ83d_D2MGs,1GKaVzNDbuI",13,533.31
8,HT_QlOJbDpg,dumbasstheredneck,1095,Comedy,14,1349,2.09,22,13,"jVxz9wKEa3A,mUoRI-VnV6w,bGRB0Pwx_iM,B09qqpGr4Xo,6Xdg_elOGaY,8-7axRRXpfE,VO_mUdKmyds,1vGH08qoclk,eP94rcWKMNM,jFGu4xEvWUc,e7SnPCWPFxE,G_my4iaIYIM,e9y0_BgZU7g",13,1386.09
9,ShhClb6J-NA,thecrashguy,1136,Entertainment,61,29,0,0,0,"6DK-CJh6hTY,SArJyLS6T_Y,boRch04lh0I,yop2Ipym-ls,Ydnc_c4Afj0,HFaCubSrqdQ,tpUcCvJ9cio,8MrfxlBkHMQ,_CNGEzIuf_I,bKOzgNvNgTE,JJtHjzlBigU,fGkPWRrOTXA,oBqH_5mPxsc",13,29
10,g9e1alirMhc,iamdanielisaac,541,Comedy,152,483053,4.65,2689,2932,"1GKaVzNDbuI,Bd61LnxqSng,97cWs8tW8mY,I4yKEK9o8gA,IBqQWAjBgmE,myQpL8_M980,WWqed9u6rr4,-mQH9DloKD8,2l6vwAIAqNU,E3XaD3Yu3qA,pFUYi7dp1WU,Dto7-3aOt8w,hiSmlmXp-aU",13,488678.65
11,YZev1imoxX8,threefirstnames,1135,Entertainment,253,63,5,3,2,"-UvVtpmh4EQ,BzwpvskqHa4,OJtAoLrGA8Q,q5QOvQ8ZYUQ,MFmMssHR0Rc,vDuIB8Gv9GQ,3kITDVTeo-c,Dt5X1_3S_kM,P2OguaWyfzQ,vOAYUoiPkzA,_6ruNbrssO4,sSUu4ROj3FQ,n5Ngq0mKKzA",13,73
12,I4yKEK9o8gA,djlogitek,964,News & Politics,173,106929,4.39,1010,1484,"1GKaVzNDbuI,qCUYgddlvRM,J0Qu6eyyr4c,8n-nT-luFIw,q8XToX7aSdg,dzUNvEfYDEQ,WWqed9u6rr4,2l6vwAIAqNU,VWYX-LiQggc,gMuxyRbNLFM,IBqQWAjBgmE,JZekosYOmXc,DomumdGQSg8",13,109427.39
13,1GKaVzNDbuI,fatvids,690,Comedy,176,2464486,4.5,13342,11997,"g9e1alirMhc,UrNqx1p95qs,sEJLOmVOpcU,WGV4u6GhGhw,Dto7-3aOt8w,I4yKEK9o8gA,p9CypIsNSvM,qJXYN3wFhgo,Vqiw-Kqtlr0,bnuaPr4hlCU,CKjha-rohzc,hSlo0T0CNI4,_i6OD_y_-AI",13,2489829.5
14,yuZhwV24PmM,weneedhelp,1082,News & Politics,213,46183,4.71,280,247,"xq8aopATYyw,g9e1alirMhc,I4yKEK9o8gA,HuTqgqhxVMc,QoMCoMMgeO0,6h3G-lMZxjo,b4LuFQJmS1Y,7ZVpPGxuafA,bfZ_gXCHaMw,1GKaVzNDbuI,9Fr1dm2Qdls,WWqed9u6rr4,L3gQfz8GC0o",13,46714.71
15,zQ83d_D2MGs,dumbasstheredneck,1095,Comedy,14,1550,1.57,14,4,"cdbp6rCVzRs,gAHZ7DRyIgY,mUoRI-VnV6w,jFGu4xEvWUc,TEPH9ScDy1E,AK9_-sLF5M0,6Xdg_elOGaY,p4NVl4W6FHM,mCLw4iGZ7Ms,bGRB0Pwx_iM,ifTbWQW0w64,tPi04TrYskw,n00wAO4hg-U",13,1569.57
16,DomumdGQSg8,imgrown18,910,Comedy,224,392908,4.8,1261,829,"eOIFF_5ORGo,n7rlp3SLtus,u_9vYy-TCCk,kpq0zL-oW4M,J5z4Vs26-TI,b-iTzU_ZD4k,CvCqT9hkZiA,s5CqcdpwEq8,pvVo1290j1w,6g0XGKuC-ek,7TXjtbl2y3U,hpsra8ojBHQ,pqhlG9qYsR8",13,395002.8
17,pFUYi7dp1WU,StanleyJenkins,1106,Comedy,200,110272,4.07,1011,482,"ue5lVJuNlzQ,AkjUOT67hcU,Xw6xEYeUfj4,5e5tKtCoBfY,ZNfFc4-gV38,T4X8uj_SYPQ,IgVHe9CDQnU,l7Z818lnTK0,1piuJzS7H-4,1OErkBJ8Ha4,5MOriOpcgeQ,J5z4Vs26-TI,LpGZWsCapX4",13,111769.07
18,2l6vwAIAqNU,makemagazine,460,Film & Animation,294,71966,4.07,260,229,"hiSmlmXp-aU,I4yKEK9o8gA,EGzHBtoVvpc,-mQH9DloKD8,IBqQWAjBgmE,LY0-Ya2YEoE,voQACEw_9EE,IiDQwQQsrL8,DomumdGQSg8,97cWs8tW8mY,NVOFmu2ZIqI,NfOPi0QO0FQ,gqHPYTUTToc",13,72459.07
19,hiSmlmXp-aU,bravenewfilms,440,Entertainment,168,653840,4.43,198,377,"IBqQWAjBgmE,EGzHBtoVvpc,2l6vwAIAqNU,g9e1alirMhc,-mQH9DloKD8,I4yKEK9o8gA,1GKaVzNDbuI,wnDATe6MPrg,WWqed9u6rr4,97cWs8tW8mY,q65SsORdRO8,DomumdGQSg8,0GXjcE4gy7g",13,654419.43
20,_a0gQFOJYWM,diamondfan1910,1011,Film & Animation,369,728,4.64,11,17,"_SYAWo6wynM,k-_nQtrnKPw,a3vlCnLpxyc,JK0Y3YtINAk,h3sGAD9jQis,qP_laxIjpdY,KDOmA-51_G8,dJ7jf4hd3Rw,Y4E77orVtSo,K-QSEmcDXEE,FgCUuyeJWKU,RIPUy4ml83E,uL0Uetzks8A",13,760.64
21,UzPldH0vuHY,Ffllaanndd,1100,Entertainment,424,229,4,4,2,"I8PyY8vyCFo,6W5x8kuHvHk,wPFgu_V7ysM,yfnlr5pt-Bw,OE4R8rYkUWE,iWqarajbMoA,s73O-i5T3sE,B5PF8nAtFmc,xWHf_vYZzQ8,FrhzT_x6jwo,iqzcLKIvYUk,l7EUG4sCexo,0tlP6Lsk_dU",13,239
22,h9gRdAmGFnM,LinIsKorean,1067,Entertainment,410,220,4.33,6,9,"L8nC9_rQV5Y,Q6WW5XdUOr4,01oCgMHi--c,O1dQNdGzWyU,6XZU7udGtG0,YhJd7OSlkbw,k82osZa6bmM,g9VETho5KzU,QiYmQ6eE3yU,z6L-Ue0Fip8,i6DW_mPrsQM,i-VLGUJEQ4Y,kzy3G8uGnqo",13,239.33
23,rKWq0l6YiT0,ratfink43,719,News & Politics,37,4446,4.81,21,8,"Ln7ctEWN_og,rZoh58JtloQ,xjKlmc_P4to,YrCTgpSPUL0,EM2uOhiM2YM,PqpgZqUAWmg,u8QObK-CSfg,2KlLKuJpTgM,CU3vRscqDbU,12uXU1Ng108,OLB0m-6LsBI,7kuckWxmn20,Q28hjn4pgPw",13,4479.81
24,M67aD5lLC2M,zeldamastertimmy2,1100,Entertainment,477,379,4.2,10,5,"XBDOGE1sWuk,A_LnzKRkeGQ,lmnpE4WO1sE,cjUMhokejAY,bIKrKxmwrpo,gYt2kNJZCN8,mWSBnDmDFDc,eF73_L63y74,NrWMC0XW5wU,5NaKiJ9uv4g,6JZzKJTng1U,PYMFTaBtHPs,k8PpFqXnRac",13,398.2
25,VoPgxHja4Os,Djclyve,744,Entertainment,340,1083,2.33,3,0,"G-fqDRNItTk,1pxBM0q45Cs,aCcCtKJkuNo,uWrjXiUpcWA,iLUkJgmE6rU,n811__m69Ck,acXkwhIexKw,rH65AIthDzQ,XXE2qdTnNl8,53eIYIfsXNQ,UpKaCxvqehg,BIMFz12-404,mDae8VWcolE",13,1088.33
26,eBGIQ7ZuuiU,YouGotRickRolled,832,Comedy,210,8119804,4.64,23256,29160,"ZOU8GIRUd_g,yBOPCOkZUVM,onrzgB_-0sM,y3FFnpS-eYA,eqQRN5OWgBw,_0719DxMOUY,b1WWpKEPdT4,3HrSN7176XI,kDIm7zyXRKM,PIMrL4qXtJ0,f2b1D5w82yU,EwTZ2xpQwpA,NIyWxCTWQoM",13,8172224.64
27,L3mR8syHNIg,DarkArchon102,1068,Entertainment,84,109,5,1,7,"9C1ZaRTRo_8,WfILrMZwqlI,cF2vaT49Nh4,0GvnZhYBKHk,B6YnlhhX6jI,aoH49DCfIhI,a4EpHdyetOs,yN9PLyfPcsA,6CohGTK6Klo,vNOK7Fg7cV4,jt6uY1Qye5c,LxWFrUOWff8,bPuIj0Pc0IQ",13,122
28,McZ3lP8lb6E,uglydollfreak,1089,Entertainment,614,146,2.5,2,5,"L3mR8syHNIg,y2PnLvYzKB4,jt6uY1Qye5c,NOHX__MuRl8,Ktz9qOJvL-8,5OoeLModPD8,p_wu8T0AJD4,U2fDmpcJin0,w23PPpb_aUM,s3ndnT8GKPk,lMqXd1NlszU,cLsZzkZ4oRg,O1v37_fY3w4",13,155.5
29,16XHS2R_mEo,Zarzycki3000,1060,Entertainment,212,57,2.33,3,2,"Aep6xWVuVwI,TRV9-_SMChY,B5Sjwb-NH7k,tw1-CAdBinM,ts6f3auVNWo,ZmCsoZJTl1A,3SZp67WunB0,xsRWpK4pf90,rhXMO3SSvoo,RBU8ixJeppg,OqmJ3auBqrE,zzIMbjA5m8s,3Gp83GYRvsA",13,64.33
30,lhGZVgoDub0,WhiteKhakis,965,Entertainment,291,5481,4.64,14,18,"Jvy2HzEIA6E,UT6uqs8tEww,Y0kxtpycuPM,0hsONibA28I,Dmg13IXpGOg,o65V96YH-Gk,00mxUwvzkfg,s9C0utorRfQ,9VGYYRLbFSk,z6c7gkmVJZk,1g4tZ737gcs,tStMvo0ZI7M,bwiMGhKX4xo",13,5517.64
31,aYHBqH_xbCw,Ryokibin,1133,News & Politics,521,11327,4.77,96,190,"0C6QPG1zyTY,LBunB01oJmg,SmLh8WGDbRE,pBheLrsMh4E,H4COk8BNCDI,MgKoZdMe1eo,Zeu3aZJ4jY4,QKgy1OQImmw,TILOpb1CcUw,Vh3BgMbqdDM,kL3_JOl_PIE,T-p-JURwzHo,_7Y6GUCQmE8",13,11617.77
32,SfaxA9Q-9AQ,CBS,1134,News & Politics,177,25618,4.86,182,153,"EsiLiWbjhzY,ZXbtwq8atkw,iOsGo_HWP-c,osqnkdc349s,8BfNqhV5hg4,lwrxclIGJqk,RaPJG9gPvRw,bjAuzPnJ82A,-6M41YqM_xk,T1LjUeLwmrU,U6Qcu1uQ-tk,KKIhP5F38Wk,2hZx3yBoNw4",13,25957.86
33,1cWWE3A2mDI,davoodnpussy,1135,News & Politics,89,3947,1.46,69,49,"4q45Oo5d-H4,XHuaN27x8bg,cMnMUKIPhZA,aYHBqH_xbCw,q318uvIiYaQ,RB1M2wQLRrU,vyaoulHHqUY,exT_E9FNu84,Xf1eIhqYgzc,iOsGo_HWP-c,5lWlN8g2dAc,6KqmfUFZbBw,ZCYtPT_bpTI",13,4066.46
34,exT_E9FNu84,zabbabou,1136,News & Politics,63,549,3.15,13,11,"4q45Oo5d-H4,XHuaN27x8bg,cMnMUKIPhZA,aYHBqH_xbCw,q318uvIiYaQ,RB1M2wQLRrU,1cWWE3A2mDI,vyaoulHHqUY,Xf1eIhqYgzc,iOsGo_HWP-c,5lWlN8g2dAc,6KqmfUFZbBw,9l2qbaOMbcU",13,576.15
35,osqnkdc349s,giantPANDER,1135,News & Politics,132,597,5,4,1,"ZXbtwq8atkw,t7xpoWwXdig,Pef5AUt-tic,EsiLiWbjhzY,iOsGo_HWP-c,KKIhP5F38Wk,TKe2rBbGGEA,rc01OYUYLes,L1WYOl2_5Kg,8BfNqhV5hg4,T3depGF5E-0,U2rtBUfc6YA,lwrxclIGJqk",13,607
36,5lWlN8g2dAc,JoannaLloyduynsv,1134,News & Politics,53,2511,4.43,7,9,"iOsGo_HWP-c,8BfNqhV5hg4,lwrxclIGJqk,bjAuzPnJ82A,-6M41YqM_xk,RaPJG9gPvRw,T1LjUeLwmrU,E8_odhuWfTk,L1WYOl2_5Kg,2hZx3yBoNw4,fJBvvaCYbO4,fkglYSOlwns,ZHjIBe9qLWM",13,2531.43
37,ZCYtPT_bpTI,speakmymind01,1133,News & Politics,116,5321,4.77,30,60,"bjAuzPnJ82A,Y_hAXbgxXp8,-6M41YqM_xk,TKe2rBbGGEA,y915YYyXYiE,T1LjUeLwmrU,A46VRmcLtfU,uaB612ndfZY,4q45Oo5d-H4,2hZx3yBoNw4,fJBvvaCYbO4,91TtifmJPi8,ZHjIBe9qLWM",13,5415.77
38,6KqmfUFZbBw,ScrappleFace,1134,News & Politics,45,12971,4.57,23,44,"iOsGo_HWP-c,8BfNqhV5hg4,lwrxclIGJqk,bjAuzPnJ82A,-6M41YqM_xk,RaPJG9gPvRw,T1LjUeLwmrU,E8_odhuWfTk,2hZx3yBoNw4,fJBvvaCYbO4,MRuOvaBGzHA,-sEQlAQO4fY,Y4DMK2K3mk4",13,13042.57
39,Y_hAXbgxXp8,andiKentvmai,1135,News & Politics,124,209,5,1,8,"bjAuzPnJ82A,T1LjUeLwmrU,-6M41YqM_xk,y915YYyXYiE,TKe2rBbGGEA,uaB612ndfZY,A46VRmcLtfU,4q45Oo5d-H4,qUL3p0LjMBs,YkpPt_6SCMY,8BfNqhV5hg4,2hZx3yBoNw4,-sEQlAQO4fY",13,223
40,IxVsdS887HA,wazolangu,1130,News & Politics,39,44203,4.72,184,208,"UGwVpRwRmm0,FgboYZgt-ag,a0nkZ8Xcb3E,Wl_RpElD-gs,P2FgtHeX3LY,8EENUb2mQlw,J9Oi_iZJjDE,rn8O82KmDVA,T3depGF5E-0,U2rtBUfc6YA,3bayIXAaPm0,0oo_jFPyaCo,9fKr2qAg72E",13,44599.72
41,L1WYOl2_5Kg,iaxiloll,1134,News & Politics,382,4648,4.48,31,119,"8BfNqhV5hg4,lwrxclIGJqk,bjAuzPnJ82A,-6M41YqM_xk,RaPJG9gPvRw,T1LjUeLwmrU,E8_odhuWfTk,2hZx3yBoNw4,fJBvvaCYbO4,fkglYSOlwns,MRuOvaBGzHA,-sEQlAQO4fY,Y4DMK2K3mk4",13,4802.48
42,bjAuzPnJ82A,lotarvk,1134,News & Politics,122,6715,4.82,33,166,"91TtifmJPi8,uaB612ndfZY,YkpPt_6SCMY,4q45Oo5d-H4,qUL3p0LjMBs,T1LjUeLwmrU,2hZx3yBoNw4,-wYSm9OrFlQ,XHuaN27x8bg,TKe2rBbGGEA,L8GdUCqhqiU,ZHjIBe9qLWM,4sb1XXb_9sM",13,6918.82
43,E8_odhuWfTk,SteveMarmel,1131,Comedy,149,53950,4.68,341,572,"lKWCbZDYOSI,rn8O82KmDVA,0WE8xgsyhzA,mSvqJHAZ2ZA,WzFVNSUFcrY,uPtrT9W3z-s,1ZaocVeHOGc,yC6sbBS90ts,vI01EqZ45No,KNQH7-kv5Oo,NYYYv8NiPig,iOsGo_HWP-c,U2rtBUfc6YA",13,54867.68
44,TKe2rBbGGEA,go33tv,1134,News & Politics,138,10240,4.77,44,118,"iOsGo_HWP-c,T3depGF5E-0,gtyYEwQwc28,U2rtBUfc6YA,fkglYSOlwns,ozQe72pJOdQ,oThkdOWnB04,fzq8NxZabWw,xALtTDuie3s,Y4DMK2K3mk4,ROjJtmdYirI,Jq9wm6AZg-0,BMu9x8M1jp0",13,10406.77
45,lwrxclIGJqk,oonkamoonka,1134,Comedy,71,11888,4.48,58,77,"iOsGo_HWP-c,8BfNqhV5hg4,bjAuzPnJ82A,T3depGF5E-0,L1WYOl2_5Kg,-6M41YqM_xk,TKe2rBbGGEA,U2rtBUfc6YA,5lWlN8g2dAc,6KqmfUFZbBw,2hZx3yBoNw4,ZCYtPT_bpTI,MRuOvaBGzHA",13,12027.48
46,T3depGF5E-0,llamomanu,1133,News & Politics,219,51837,4.71,390,795,"RwazupZdMvg,SZRvke1W8Bo,8wURI7a9Ss0,JZaB5eb_QYo,qAbOKJpSWtk,1_aGSoT70v8,Fv7UVCPt6mQ,L2P0sGcy1LE,EbgIYQFmHpk,WAOBj5EFCDo,WAChj379yS8,aKmNmrDsJHY,92qSQfVRrWY",13,53026.71
47,9l2qbaOMbcU,ciwanamed,1135,News & Politics,116,894,5,3,6,"8BfNqhV5hg4,Pef5AUt-tic,lwrxclIGJqk,bjAuzPnJ82A,T1LjUeLwmrU,TKe2rBbGGEA,T3depGF5E-0,uaB612ndfZY,gtyYEwQwc28,5lWlN8g2dAc,EsiLiWbjhzY,2hZx3yBoNw4,ZHjIBe9qLWM",13,908
48,2hZx3yBoNw4,CBSEXPosed,1134,News & Politics,116,7515,5,2,0,"bjAuzPnJ82A,uaB612ndfZY,T1LjUeLwmrU,4q45Oo5d-H4,qUL3p0LjMBs,91TtifmJPi8,YkpPt_6SCMY,XHuaN27x8bg,TKe2rBbGGEA,L8GdUCqhqiU,ZHjIBe9qLWM,4sb1XXb_9sM,-MLVVNoJg8o",13,7522
49,UCeA4K2-wNk,spityogamecom,856,Music,294,390697,3.77,1320,2351,"hd6yq-HIibI,G84LhBePK6k,uenDS4G0B90,QXEdjYf5ezY,FtkJX2o1Kbw,W0ppg5-QEVk,txPFS3fNsHc,gGOAL0uKGP4,WEwlj_WnaUY,4lV_t_RIqgg,1y1p7AMFTWk,wxfEC6RfueE,COiPdrlmkaE",13,394371.77
50,BDmhe0vIFiQ,SpTgUrL2010,1063,Music,166,3768,3.75,16,15,"Ak74A7XRuNQ,ZSVkqzdB3vY,lCtOhmrmlgI,OH6pFuWHanE,W0ppg5-QEVk,zwxljUHq1n4,JC214B5yQjA,hd6yq-HIibI,i7j6IB06PgE,hk0fp4MKytw,QXEdjYf5ezY,8i9MGy_mnao,1y1p7AMFTWk",13,3802.75
51,3Cc7-4OeAgM,joris6440,1127,Music,303,368,4.6,10,4,"1FmqfYWYuZk,DHuZdIXt_iU,KLq-yuDSHtQ,QY69psv2gXs,vMndnWGI4bU,sTkQzFigQmM,JJoTrSGHTEE,9nIgrsGIzBw,i8ZuPy90bSw,4WxXZHUCRcw,2ucHZ5CxYJI,IbzyFG6zV-s,sJ35xy2wM1o",13,386.6
52,NDtHpG0c0Cc,reidooproductions,1135,Howto & Style,185,84,2.67,3,2,"BDmhe0vIFiQ,K7Om0QZy-38,t02kRsw1AUU,QXEdjYf5ezY,G84LhBePK6k,3Cc7-4OeAgM,OnosHPTij3M,yhGd25KcOh4,hd6yq-HIibI,e5L0hW2Dj10,wrtK6sELhC4,UmAa8JTm1Cc,6hIis-_GIXk",13,91.67
53,UmAa8JTm1Cc,iRespond2U,1135,Music,59,116,0,0,7,"BDmhe0vIFiQ,K7Om0QZy-38,9xSvVPa41Cg,QXEdjYf5ezY,3Cc7-4OeAgM,G84LhBePK6k,OnosHPTij3M,yhGd25KcOh4,hd6yq-HIibI,t02kRsw1AUU,H4kZqk1NF4U,J52gclijmWw,NDtHpG0c0Cc",13,123
54,#NAME?,headz22,1136,Music,104,48,5,2,1,"BDmhe0vIFiQ,K7Om0QZy-38,9xSvVPa41Cg,QXEdjYf5ezY,3Cc7-4OeAgM,G84LhBePK6k,OnosHPTij3M,yhGd25KcOh4,lSm3dd0IKqY,hd6yq-HIibI,e5L0hW2Dj10,UmAa8JTm1Cc,n7RpX3T7ZXU",13,56
55,QXEdjYf5ezY,spityogamecom,858,Music,401,267189,4.69,442,407,"FtkJX2o1Kbw,UCeA4K2-wNk,J52gclijmWw,zwxljUHq1n4,S8AN-UMJHsw,FE7KaiVvCLI,4lV_t_RIqgg,Y1YaxX5noFg,txPFS3fNsHc,PE6NIoaz9qk,yQj1YkeBp2g,WEwlj_WnaUY,N0mskwv1Lg0",13,268042.69
56,G84LhBePK6k,spityogamecom,864,Music,356,200754,4.76,364,264,"UCeA4K2-wNk,FtkJX2o1Kbw,qUp8_MZp_80,N0mskwv1Lg0,0lR8PVQwLK0,yhGd25KcOh4,50CVprpDjTA,zwxljUHq1n4,S2GXb8li5Xo,_lQxqblSnoY,OvXOQsHelxY,dvcCJAie95s,7pf7LjUmaiw",13,201386.76
57,OnosHPTij3M,mi3456789,1112,Entertainment,295,247,4,5,1,"UCeA4K2-wNk,zwxljUHq1n4,8i9MGy_mnao,sSQk4M6Qc8I,XQ_tetr6lIM,Y8hy3S5ij9U,pEKsjtz21Rk,bjDTHCM2DCA,M3utsnlfD64,-s74SBONBUU,ryLPTWmjTLU,5XjAixpAuRc,hQNCq0LBuzo",13,257
58,yhGd25KcOh4,spityogamecom,852,Music,187,164387,4.82,108,47,"N0mskwv1Lg0,J52gclijmWw,_lQxqblSnoY,NphGau9YudM,UCeA4K2-wNk,QXEdjYf5ezY,WXTpefj6aSE,OvXOQsHelxY,S2GXb8li5Xo,W3mGs0nVRRA,wDWjCY37gJs,uDzJrmT4usQ,bW75j2ux9ZE",13,164546.82
59,Cj_S_rut3LQ,MrCeoBoy,989,Music,176,762,5,4,7,"DtpiQelqqSM,KdwbIxgtSrE,rD_g8kkvAWQ,jEyt-h4p4pI,QQru_q9Ajdo,Dsao8AK57KU,dOFv_8XY0Po,y0_G0m5W1nY,CwV0oCWYF8Q,l2pisrNORiE,u3qw3b5DgRU,zfXGsr2fhio,D9g2szHsoz0",13,778
60,XNyINFMHHm4,MRMAKEEMBOP,1118,Music,152,665,0,0,1,"j9jRXI2B0ik,vqJMRSQgTRE,ZEDYzwdqHrU,_cy9AzS27YY,FSemaBjVsl4,j7aPmMmkhoE,1FmqfYWYuZk,cLz7WF5ktow,FoTTW6OA5V8,zelToJUH7Rk,xPp3qikwUTc,4Li4RDoFWTU,n_hYc6lYE4c",13,666
61,6hIis-_GIXk,jessy0525,859,People & Blogs,240,1195,3.67,3,6,"fmmDVLWLUfA,mAdy7MiPDmo,tfEFlqyt_ds,LHVDdNc43Ro,4ZXEsu2XbKw,D2tYShoBXMo,-t3ppgyUd1Q,KMO8v6c1VNw,3FHZbOAcWTw,Kachc1Zbqpc,MHTim22_e04,DkrnojIpxPM,UCeA4K2-wNk",13,1207.67
62,hd6yq-HIibI,Chevymalibu12,835,Music,202,330284,4.72,392,259,"uZjR8DHb7SI,vxQfruk7qRM,UCeA4K2-wNk,xG5k14lzAgE,Mw94eS_NmYk,EuMVGgEr0v0,vNnpc7_Zw1Y,pLMVvRtStvU,CDHL7wW59U8,HDGbRGoTLfg,CLpKCXfqywU,vmdZEY2hxf8,3VPQLVS9-Og",13,330939.72
63,ZEDYzwdqHrU,MRMAKEEMBOP,1117,Music,111,158,5,1,0,"vqJMRSQgTRE,zv7obCl2QNM,CXuBCBiR5ZE,hcRfAO9-Os8,DiD1ULPzp3U,2rJW21p-5h0,RdLP7je9WbA,vFwrY48krB8,xPp3qikwUTc,JQYOiqzTKH4,cP91J1JGV_s,DxGzlPYDS60,_hruTzIsdwU",13,164
64,t02kRsw1AUU,bihwiLoganqjrg,1135,Music,193,236,4.2,5,5,"BDmhe0vIFiQ,K7Om0QZy-38,9xSvVPa41Cg,QXEdjYf5ezY,3Cc7-4OeAgM,G84LhBePK6k,OnosHPTij3M,yhGd25KcOh4,hd6yq-HIibI,e5L0hW2Dj10,H4kZqk1NF4U,J52gclijmWw,NDtHpG0c0Cc",13,250.2
65,J52gclijmWw,spityogamecom,854,Music,187,44965,4.82,98,65,"QXEdjYf5ezY,G84LhBePK6k,50CVprpDjTA,yhGd25KcOh4,N0mskwv1Lg0,FtkJX2o1Kbw,UCeA4K2-wNk,4rrEMlka-e0,sM4lwb41zl0,K-sOWROzfSc,W3mGs0nVRRA,wDWjCY37gJs,9M74EXH7DTI",13,45132.82
66,5vLbA7n8EG0,alexasWelchvpjjc,1135,News & Politics,53,1003,5,1,7,"3ZbXJp-NUZc,McYsnvAymV8,MaE1kowuCBQ,N1RMCuIUB9c,FZK4BRN6D9w,pM3GHI5xR9U,3ds7V085k7g,13YOGHzzoMA,clhOnZRrmXc,TPUZqcibh4E,OIxgw04Y0Fc,16s-pJs69UU,1A1thQqUvAI",13,1016
67,3ZbXJp-NUZc,puebloplug,1135,News & Politics,13,784,2.47,19,5,"5vLbA7n8EG0,MaE1kowuCBQ,N1RMCuIUB9c,FZK4BRN6D9w,3ds7V085k7g,13YOGHzzoMA,clhOnZRrmXc,TPUZqcibh4E,OIxgw04Y0Fc,16s-pJs69UU,1A1thQqUvAI,awVJCNMw1To,FJETon8XRxY",13,810.47
68,MaE1kowuCBQ,tottigol1020,390,Sports,117,742374,4.46,597,503,"yQXHaY4knMs,_tFdTp_qanE,0cHXHWf0qEQ,BTlwR-Ag5L0,N6O9aa5lQMs,kHKefMuCqlk,FZK4BRN6D9w,uMPVzkUVTiU,FXiTdjn5ZVY,ajkXybb8fuE,4SsvHOu6idg,pM3GHI5xR9U,51Zu3wV3Xbc",13,743478.46
